segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days
70,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1057,1062,617,5,13,2004.835275,2005.009983,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9795,9859,2004,305,2004-D305,2005,4,2005-D004,65
71,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1066,1071,617,5,13,2005.14975,2005.324459,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9910,9974,2005,55,2005-D055,2005,119,2005-D119,65
72,25,NOAA 11 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,597,776,637,179,13,1988.762063,1995.016639,6.254576,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,3929,6212,1988,279,1988-D279,1995,7,1995-D007,2284
73,25,NOAA 11 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,848,1005,637,157,13,1997.532446,2003.018303,5.485857,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,7130,9132,1997,195,1997-D195,2003,7,2003-D007,2003
74,25,NOAA 11 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1375,1379,637,4,5,2015.946755,2016.086522,0.139767,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13851,13902,2015,346,2015-D346,2016,32,2016-D032,52
75,26,NOAA 9 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,489,601,656,112,13,1984.988353,1988.90183,3.913478,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,2551,3980,1984,361,1984-D361,1988,330,1988-D330,1430
76,27,NOAA 8 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,443,445,675,2,13,1983.381032,1983.450915,0.069884,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,1965,1990,1983,140,1983-D140,1983,165,1983-D165,26
77,27,NOAA 8 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,504,513,675,9,13,1985.512479,1985.826955,0.314476,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,2743,2857,1985,188,1985-D188,1985,302,1985-D302,115
78,27,NOAA 8 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,445,474,675,29,13,1983.450915,1984.464226,1.013311,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,1990,2360,1983,165,1983-D165,1984,170,1984-D170,371
79,28,NOAA 7 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,389,494,694,105,13,1981.494176,1985.163062,3.668885,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,1276,2615,1981,181,1981-D181,1985,60,1985-D060,1340
80,29,NOAA 6 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,332,442,714,110,13,1979.502496,1983.34609,3.843594,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,549,1952,1979,184,1979-D184,1983,127,1983-D127,1404
